v1300,,,,,,,,,,,,,,,,,,,,,,,,,,
商品ID,バリエーションID,削除設定 ※削除の場合のみ入力,カテゴリーID,【必須】商品名 ※49文字,商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。,商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。,バリエーション（種別1） ※32文字,バリエーション（種別2） ※32文字,税設定 ※「外税」「内税」のいずれかを入力,適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力,税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力,価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力,販売単位ID,【必須】価格 ※半角数字,価格2 ※税率別に価格を指定する場合に入力,原価 ※半角数字,商品コード ※24文字,自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。,バーコード,ポイント付与対象 ※「対象」「対象外」のいずれかを入力,表示/非表示 ※「表示」「非表示」のいずれかを入力,レシート印字設定 ※「印字する」「印字しない」のいずれかを入力,登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力,備考 ※1000文字,旧商品コード ※通常入力しません,分析タグID ※通常入力しません
,,,1,エビ味噌　,エビ味噌　,エビ味噌　,焦がし辛増し煮卵,,内税,標準税率,,通常,,1560,,,,,,対象,表示,印字する,印字する,,,
,,,1,つけ麺6号,つけ麺6号,つけ麺6号,深夜 小,,内税,標準税率,,通常,,1530,,,,,,対象,表示,印字する,印字する,,,
,,,1,つけ麺6号,つけ麺6号,つけ麺6号,深夜 中,,内税,標準税率,,通常,,1580,,,,,,対象,表示,印字する,印字する,,,
,,,1,つけ麺6号,つけ麺6号,つけ麺6号,深夜 大,,内税,標準税率,,通常,,1730,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,らーめん,,内税,標準税率,,通常,,930,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,チーたまらーめん,,内税,標準税率,,通常,,1240,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,肉たまチーらーめん,,内税,標準税率,,通常,,1460,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,つけ麺１玉,,内税,標準税率,,通常,,1090,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,つけ麺１.５玉,,内税,標準税率,,通常,,1090,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,チーたまつけ麺,,内税,標準税率,,通常,,1400,,,,,,対象,表示,印字する,印字する,,,
,,,1,エビカリー,エビカリー,エビカリー,肉たまチーつけ麺,,内税,標準税率,,通常,,1620,,,,,,対象,表示,印字する,印字する,,,
,,,1,ベジ味噌,ベジ味噌,ベジ味噌,ノーマル,,内税,標準税率,,通常,,1680,,,,,,対象,表示,印字する,印字する,,,
,,,1,ベジ味噌,ベジ味噌,ベジ味噌,グルテンフリー麺,,内税,標準税率,,通常,,2100,,,,,,対象,表示,印字する,印字する,,,
,,,1,溜まり醤油油そば,溜まり醤油油そば,溜まり醤油油そば,,,内税,標準税率,,通常,,950,,,,,,対象,表示,印字する,印字する,,,
,,,1,創作,創作,創作,,,内税,標準税率,,通常,,0,,,,,,対象,表示,印字する,印字する,,,
,,,1,スタンプカードラーメン,スタンプカードラーメン,スタンプカードラーメン,,,内税,標準税率,,通常,,0,,,,,,対象,表示,印字する,印字する,,,
,,,1,酢辣サク,酢辣サク,酢辣サク,ノーマル,,内税,標準税率,,通常,,1300,,,,,,対象,表示,印字する,印字する,,,
,,,1,酢辣サク,酢辣サク,酢辣サク,辛増し,,内税,標準税率,,通常,,1450,,,,,,対象,表示,印字する,印字する,,,
,,,1,酒粕ラーメン,酒粕ラーメン,酒粕ラーメン,,,内税,標準税率,,通常,,1360,,,,,,対象,表示,印字する,印字する,,,
,,,1,和え玉,和え玉,和え玉,,,内税,標準税率,,通常,,600,,,,,,対象,表示,印字する,印字する,,,
,,,1,替え玉,替え玉,替え玉,,,内税,標準税率,,通常,,350,,,,,,対象,表示,印字する,印字する,,,
,,,1,赤白ブレンド,赤白ブレンド,赤白ブレンド,,,内税,標準税率,,通常,,1250,,,,,,対象,表示,印字する,印字する,,,
,,,1,焦がし白味噌,焦がし白味噌,焦がし白味噌,ノーマル,,内税,標準税率,,通常,,1280,,,,,,対象,表示,印字する,印字する,,,
,,,1,焦がし白味噌,焦がし白味噌,焦がし白味噌,煮卵,,内税,標準税率,,通常,,1440,,,,,,対象,表示,印字する,印字する,,,
,,,6,ご飯,ご飯,ご飯,小,,内税,標準税率,,通常,,140,,,,,,対象,表示,印字する,印字する,,,
,,,6,ご飯,ご飯,ご飯,中,,内税,標準税率,,通常,,250,,,,,,対象,表示,印字する,印字する,,,
,,,6,ご飯,ご飯,ご飯,大,,内税,標準税率,,通常,,380,,,,,,対象,表示,印字する,印字する,,,
,,,6,ご飯,ご飯,ご飯,学割,,内税,標準税率,,通常,,50,,,,,,対象,表示,印字する,印字する,,,
