v1300,,,,,,,,,,,,,,,,,,,,,,,,,,
商品ID,バリエーションID,削除設定 ※削除の場合のみ入力,カテゴリーID,【必須】商品名 ※49文字,商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。,商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。,バリエーション（種別1） ※32文字,バリエーション（種別2） ※32文字,税設定 ※「外税」「内税」のいずれかを入力,適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力,税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力,価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力,販売単位ID,【必須】価格 ※半角数字,価格2 ※税率別に価格を指定する場合に入力,原価 ※半角数字,商品コード ※24文字,自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。,バーコード,ポイント付与対象 ※「対象」「対象外」のいずれかを入力,表示/非表示 ※「表示」「非表示」のいずれかを入力,レシート印字設定 ※「印字する」「印字しない」のいずれかを入力,登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力,備考 ※1000文字,旧商品コード ※通常入力しません,分析タグID ※通常入力しません
,,,5,烏龍茶,烏龍茶,烏龍茶,,,内税,標準税率,,通常,,480,,,,,,対象,表示,印字する,印字する,,,
,,,5,自家焙煎珈琲,自家焙煎珈琲,自家焙煎珈琲,単品,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,5,自家焙煎珈琲,自家焙煎珈琲,自家焙煎珈琲,食事とセット,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,12,アイスクリン,アイスクリン,アイスクリン,,,内税,標準税率,,通常,,330,,,,,,対象,表示,印字する,印字する,,,
,,,12,本日のアイス,本日のアイス,本日のアイス,,,内税,標準税率,,通常,,440,,,,,,対象,表示,印字する,印字する,,,
,,,12,チーズケーキ,チーズケーキ,チーズケーキ,,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,12,チーズケーキ　珈琲セット,チーズケーキ　珈琲セット,チーズケーキ　珈琲セット,食事なし,,内税,標準税率,,通常,,1100,,,,,,対象,表示,印字する,印字する,,,
,,,12,チーズケーキ　珈琲セット,チーズケーキ　珈琲セット,チーズケーキ　珈琲セット,食事とセット,,内税,標準税率,,通常,,990,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,A 小鉢とご飯,,内税,標準税率,,通常,,650,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,B シン唐揚げとご飯,,内税,標準税率,,通常,,700,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,C 小鉢2種,,内税,標準税率,,通常,,440,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,D シン唐揚げ,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,E 肉味噌ご飯,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,10,昼セット,昼セット,昼セット,F ごはん,,内税,標準税率,,通常,,330,,,,,,対象,表示,印字する,印字する,,,
,,,10,夜セット,夜セット,夜セット,A 小鉢とご飯,,内税,標準税率,,通常,,650,,,,,,対象,表示,印字する,印字する,,,
,,,10,夜セット,夜セット,夜セット,B シン唐揚げとご飯,,内税,標準税率,,通常,,650,,,,,,対象,表示,印字する,印字する,,,
,,,10,夜セット,夜セット,夜セット,C 小鉢2種,,内税,標準税率,,通常,,440,,,,,,対象,表示,印字する,印字する,,,
,,,10,夜セット,夜セット,夜セット,D シン唐揚げ,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,10,夜セット,夜セット,夜セット,E 肉味噌ご飯,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,,ランチキッズ,ランチキッズ,ランチキッズ,お子様プレート,,内税,標準税率,,通常,,800,,,,,,対象,表示,印字する,印字する,,,
,,,,ランチキッズ,ランチキッズ,ランチキッズ,お子様白味噌らーめん,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,,ランチキッズ,ランチキッズ,ランチキッズ,お子様ご飯,,内税,標準税率,,通常,,330,,,,,,対象,表示,印字する,印字する,,,
,,,,発行御前,発行御前,発行御前,小鉢３種,,内税,標準税率,,通常,,1920,,,,,,対象,表示,印字する,印字する,,,
,,,,発行御前,発行御前,発行御前,小鉢５種,,内税,標準税率,,通常,,2220,,,,,,対象,表示,印字する,印字する,,,
,,,,発行御前,発行御前,発行御前,小鉢３種 アルコール,,内税,標準税率,,通常,,2420,,,,,,対象,表示,印字する,印字する,,,
,,,,発行御前,発行御前,発行御前,小鉢５種 アルコール,,内税,標準税率,,通常,,2720,,,,,,対象,表示,印字する,印字する,,,
,,,,唐揚げ定食,唐揚げ定食,唐揚げ定食,,,内税,標準税率,,通常,,1380,,,,,,対象,表示,印字する,印字する,,,
,,,14,コース,コース,コース,一品,,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,14,コース,コース,コース,鍋,,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,15,味噌ワークショップ,味噌ワークショップ,味噌ワークショップ,,,内税,標準税率,,通常,,0,,,,,,対象,表示,印字する,印字する,,,
,,,13,STOUTトレーナー,STOUTトレーナー,STOUTトレーナー,,,内税,標準税率,,通常,,5300,,,,,,対象,表示,印字する,印字する,,,
,,,13,ラー油,ラー油,ラー油,,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,13,ステッカー,ステッカー,ステッカー,,,内税,標準税率,,通常,,200,,,,,,対象,表示,印字する,印字する,,,
,,,13,酒母粕,酒母粕,酒母粕,,,内税,標準税率,,通常,,550,,,,,,対象,表示,印字する,印字する,,,
,,,13,かりんとう,かりんとう,かりんとう,,,内税,標準税率,,通常,,400,,,,,,対象,表示,印字する,印字する,,,
,,,13,スタッフかりんとう,スタッフかりんとう,スタッフかりんとう,,,内税,標準税率,,通常,,300,,,,,,対象,表示,印字する,印字する,,,
,,,13,秋鹿トレーナー,秋鹿トレーナー,秋鹿トレーナー,,,内税,標準税率,,通常,,6200,,,,,,対象,表示,印字する,印字する,,,
,,,13,らーめん鉢,らーめん鉢,らーめん鉢,,,内税,標準税率,,通常,,4400,,,,,,対象,表示,印字する,印字する,,,
,,,13,チャーシュー300g（持帰）,チャーシュー300g（持帰）,チャーシュー300g（持帰）,,,内税,標準税率,,通常,,1380,,,,,,対象,表示,印字する,印字する,,,
,,,13,パテ,パテ,パテ,,,内税,標準税率,,通常,,1180,,,,,,対象,表示,印字する,印字する,,,
,,,13,敷島アクセサリー,敷島アクセサリー,敷島アクセサリー,,,内税,標準税率,,通常,,3080,,,,,,対象,表示,印字する,印字する,,,
,,,13,酒粕,酒粕,酒粕,,,内税,標準税率,,通常,,550,,,,,,対象,表示,印字する,印字する,,,
,,,13,みりん粕,みりん粕,みりん粕,,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,13,ワッペン,ワッペン,ワッペン,,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,13,ピンバッジ,ピンバッジ,ピンバッジ,,,内税,標準税率,,通常,,350,,,,,,対象,表示,印字する,印字する,,,
,,,13,東海ガイドブック,東海ガイドブック,東海ガイドブック,,,内税,標準税率,,通常,,1650,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかパーカー,みつかパーカー,みつかパーカー,ライオン(S),,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかパーカー,みつかパーカー,みつかパーカー,ライオン(M),,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかパーカー,みつかパーカー,みつかパーカー,ライオン(L),,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかパーカー,みつかパーカー,みつかパーカー,ライオン(XL),,内税,標準税率,,通常,,3800,,,,,,対象,表示,印字する,印字する,,,
,,,13,マスキングテープ,マスキングテープ,マスキングテープ,1個,,内税,標準税率,,通常,,200,,,,,,対象,表示,印字する,印字する,,,
,,,13,マスキングテープ,マスキングテープ,マスキングテープ,2個,,内税,標準税率,,通常,,300,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかヌードル,みつかヌードル,みつかヌードル,白味噌(麺と味噌),,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかヌードル,みつかヌードル,みつかヌードル,赤味噌(麺と味噌),,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかヌードル,みつかヌードル,みつかヌードル,辛味噌(麺と味噌),,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,13,ぬか床,ぬか床,ぬか床,900g,,内税,標準税率,,通常,,990,,,,,,対象,表示,印字する,印字する,,,
,,,13,ぬか床,ぬか床,ぬか床,200g,,内税,標準税率,,通常,,280,,,,,,対象,表示,印字する,印字する,,,
,,,13,生麺,生麺,生麺,細麺,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,生麺,生麺,生麺,太麺,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,生麺,生麺,生麺,ウドンド麺,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,生麺,生麺,生麺,平打ち,,内税,標準税率,,通常,,280,,,,,,対象,表示,印字する,印字する,,,
,,,13,かあちゃん味噌,かあちゃん味噌,かあちゃん味噌,150g,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,かあちゃん味噌,かあちゃん味噌,かあちゃん味噌,500g,,内税,標準税率,,通常,,680,,,,,,対象,表示,印字する,印字する,,,
,,,13,宝山味噌,宝山味噌,宝山味噌,150g,,内税,標準税率,,通常,,250,,,,,,対象,表示,印字する,印字する,,,
,,,13,宝山味噌,宝山味噌,宝山味噌,500g,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,13,関東屋味噌,関東屋味噌,関東屋味噌,150g,,内税,標準税率,,通常,,250,,,,,,対象,表示,印字する,印字する,,,
,,,13,関東屋味噌,関東屋味噌,関東屋味噌,500g,,内税,標準税率,,通常,,780,,,,,,対象,表示,印字する,印字する,,,
,,,13,やまご味噌,やまご味噌,やまご味噌,150g,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,やまご味噌,やまご味噌,やまご味噌,500g,,内税,標準税率,,通常,,680,,,,,,対象,表示,印字する,印字する,,,
,,,13,石野味噌,石野味噌,石野味噌,150g,,内税,標準税率,,通常,,280,,,,,,対象,表示,印字する,印字する,,,
,,,13,石野味噌,石野味噌,石野味噌,500g,,内税,標準税率,,通常,,880,,,,,,対象,表示,印字する,印字する,,,
,,,13,おさるグラス,おさるグラス,おさるグラス,ハーフ,,内税,標準税率,,通常,,800,,,,,,対象,表示,印字する,印字する,,,
,,,13,おさるグラス,おさるグラス,おさるグラス,パイント,,内税,標準税率,,通常,,850,,,,,,対象,表示,印字する,印字する,,,
,,,13,秋鹿グッズ,秋鹿グッズ,秋鹿グッズ,とっくり180,,内税,標準税率,,通常,,830,,,,,,対象,表示,印字する,印字する,,,
,,,13,秋鹿グッズ,秋鹿グッズ,秋鹿グッズ,とっくり300,,内税,標準税率,,通常,,1100,,,,,,対象,表示,印字する,印字する,,,
,,,13,秋鹿グッズ,秋鹿グッズ,秋鹿グッズ,お猪口,,内税,標準税率,,通常,,300,,,,,,対象,表示,印字する,印字する,,,
,,,13,秋鹿グッズ,秋鹿グッズ,秋鹿グッズ,桝,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつか麹,みつか麹,みつか麹,塩麹,,内税,標準税率,,通常,,600,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつか麹,みつか麹,みつか麹,醤油麹,,内税,標準税率,,通常,,700,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつか麹,みつか麹,みつか麹,玉ねぎ麹,,内税,標準税率,,通常,,800,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつか麹,みつか麹,みつか麹,柚子胡椒麹,,内税,標準税率,,通常,,580,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつか麹,みつか麹,みつか麹,中華麹,,内税,標準税率,,通常,,800,,,,,,対象,表示,印字する,印字する,,,
,,,13,米麹,米麹,米麹,米麹　500g,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,13,米麹,米麹,米麹,米麹　1kg,,内税,標準税率,,通常,,1450,,,,,,対象,表示,印字する,印字する,,,
,,,13,飲みにいきたい,飲みにいきたい,飲みにいきたい,サコッシュ,,内税,標準税率,,通常,,900,,,,,,対象,表示,印字する,印字する,,,
,,,13,飲みにいきたい,飲みにいきたい,飲みにいきたい,ピンバッチ,,内税,標準税率,,通常,,150,,,,,,対象,表示,印字する,印字する,,,
,,,13,木桶アクセサリー,木桶アクセサリー,木桶アクセサリー,660円,,内税,標準税率,,通常,,660,,,,,,対象,表示,印字する,印字する,,,
,,,13,木桶アクセサリー,木桶アクセサリー,木桶アクセサリー,1870円,,内税,標準税率,,通常,,1870,,,,,,対象,表示,印字する,印字する,,,
,,,13,木桶アクセサリー,木桶アクセサリー,木桶アクセサリー,2650円,,内税,標準税率,,通常,,2650,,,,,,対象,表示,印字する,印字する,,,
,,,13,木桶アクセサリー,木桶アクセサリー,木桶アクセサリー,3850円,,内税,標準税率,,通常,,3850,,,,,,対象,表示,印字する,印字する,,,
,,,13,玄米麺,玄米麺,玄米麺,ノーマル,,内税,標準税率,,通常,,420,,,,,,対象,表示,印字する,印字する,,,
,,,13,玄米麺,玄米麺,玄米麺,グルテンフリー麺変更時,,内税,標準税率,,通常,,220,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかグラス,みつかグラス,みつかグラス,ハーフサイズ,,内税,標準税率,,通常,,2000,,,,,,対象,表示,印字する,印字する,,,
,,,13,みつかグラス,みつかグラス,みつかグラス,パイントサイズ,,内税,標準税率,,通常,,2500,,,,,,対象,表示,印字する,印字する,,,
,,,13,とよのサイダー(物販),とよのサイダー(物販),とよのサイダー(物販),,,内税,標準税率,,通常,,430,,,,,,対象,表示,印字する,印字する,,,
,,,13,りんごジュース(物販),りんごジュース(物販),りんごジュース(物販),180mL,,内税,標準税率,,通常,,550,,,,,,対象,表示,印字する,印字する,,,
,,,13,りんごジュース(物販),りんごジュース(物販),りんごジュース(物販),1L,,内税,標準税率,,通常,,1370,,,,,,対象,表示,印字する,印字する,,,
